participant,trial,decision_type,choice
0,0,0,1
0,1,1,1
0,2,0,1
0,3,0,1
0,4,0,1
0,5,0,1
0,6,1,1
0,7,0,1
0,8,0,1
0,9,1,1
0,10,1,1
0,11,2,0
0,12,2,0
0,13,2,0
0,14,2,0
0,15,2,0
1,0,0,1
1,1,1,1
1,2,1,1
1,3,0,1
1,4,0,1
1,5,2,0
1,6,0,1
1,7,2,0
1,8,0,1
1,9,2,0
1,10,2,0
1,11,2,0
1,12,2,0
1,13,2,0
1,14,2,0
2,1,0,1
2,2,0,1
2,3,2,0
2,4,2,0
2,5,2,0
2,6,0,1
2,7,0,1
2,8,2,0
2,9,2,0
2,10,2,0
2,11,2,0
2,12,2,0
2,13,2,0
2,14,2,0
2,15,2,0
3,1,1,
3,2,1,
3,3,1,
3,4,2,
3,5,0,
3,6,0,
3,7,0,
3,8,2,
3,9,2,
3,10,2,
3,11,2,
3,12,2,
3,13,2,
3,14,2,
3,15,2,
4,1,0,
4,2,0,
4,3,0,
4,4,0,
4,5,0,
4,6,2,
4,7,0,
4,8,2,
4,9,1,
4,10,1,
4,11,0,
4,12,2,
4,13,2,
4,14,2,
4,15,2,
5,1,0,
5,2,0,
5,3,2,
5,4,2,
5,5,2,
5,6,2,
5,7,2,
5,8,2,
5,9,2,
5,10,2,
5,11,2,
5,12,2,
5,13,2,
5,14,2,
5,15,2,
6,1,0,
6,2,0,
6,3,0,
6,4,0,
6,5,0,
6,6,0,
6,7,0,
6,8,0,
6,9,1,
6,10,1,
6,11,2,
6,12,2,
6,13,1,
6,14,2,
6,15,2,
7,1,0,
7,2,0,
7,3,0,
7,4,1,
7,5,1,
7,6,0,
7,7,1,
7,8,0,
7,9,1,
7,10,1,
7,11,1,
7,12,1,
7,13,1,
7,14,1,
7,15,0,
8,1,0,
8,2,2,
8,3,0,
8,4,2,
8,5,2,
8,6,2,
8,7,2,
8,8,2,
8,9,0,
8,10,2,
8,11,2,
8,12,2,
8,13,2,
8,14,2,
8,15,2,
9,1,0,
9,2,2,
9,3,0,
9,4,0,
9,5,0,
9,6,2,
9,7,2,
9,8,2,
9,9,0,
9,10,2,
9,11,2,
9,12,2,
9,13,2,
9,14,2,
9,15,2,
10,1,0,
10,2,0,
10,3,0,
10,4,1,
10,5,1,
10,6,1,
10,7,0,
10,8,0,
10,9,1,
10,10,2,
10,11,2,
10,12,2,
10,13,2,
10,14,2,
10,15,2,
